,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
REPUBLIQUE ALGERIENNE DEMOCRATIQUE ET POPULAIRE  ,,,,,,,,,,,,,,,,,,,,
MINISTERE DE LA SANTE DE LA POPULATION ET DE LA REFORME HOSPITALIERE,,,,,,,,,,,,,,,,,,,,
DIRECTION GENERALE DE LA PHARMACIE ET DES EQUIPEMENTS DE SANTE,,,,,,,,,,,,,,,,,,,,
DIRECTION DES PRODUITS PHARMACEUTIQUES - SOUS DIRECTION DE L'ENREGISTREMENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOMENCLATURE NATIONALE DES PRODUITS PHARMACEUTIQUES A USAGE DE LA MEDECINE HUMAINE AU 31 DECEMBRE 2019  ( 3412 DE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL ,DATE D'ENREGISTREMENT  FINAL ,TYPE,STATUT,DUREE DE STABILITE,,
92,433/ 05 F 123 /15,05 F 123,ACIDE ZOLEDRONIQUE MONOHYDRATE,ZOLIDRO,SOL. A DILUER P. PERF. IV,"0,8MG/ML (4MG/5ML)",B/01 FL. DE 5ML,Liste I,HOP,OFF,,FRATER RAZES SPA,ALGERIE,6/24/2015,6/24/2015,Gé,F,24 MOIS,,
93,001/ 05 F 123 /14,05 F 123,ACIDE ZOLEDRONIQUE MONOHYDRATE (EXPRIME EN ACIDE ZOLEDRONIQUE),ACIDE ZOLEDRONIQUE HIKMA,PDRE LYOPHILISEE P/ PERF IV ,4MG/FLACON,B/01 FL DE PDRE,Liste I,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,6/1/2014,6/1/2014,Gé,I,,,
94,068/ 05 F 165/14,05 F 165,ACIDE ZOLEDRONIQUE MONOHYDRATE EXPRIME EN ACIDE ZOLEDRONIQUE,ACLASTA,SOL INJ P/PERF,5MG/100ML,B/01FL DE 100ML,Liste I,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,1/6/2014,1/6/2014,Ré,I,36 MOIS,,
95,521 / 05 F 165/18,05 F 165,Acide zoledronique monohydrate exprime en acide zoledronique,ZOLTONAR,SOL  P/PERF,5MG/100ML,B/01FL DE 100ML,Liste I,HOP,OFF,,WORLD MEDECINE ILAC SAN VE TIC AS,TURQUIE,4/1/2018,4/1/2018,Ré,I,36 MOIS,,
96,128/05 F 123/10/16,05 F 123,ACIDE ZOLEDRONIQUE MONOHYDRATEE EXPRIME EN ACIDE ZOLEDRONIQUE ANHYDRE,ZOLDRIA,LYOPH. ET SOLV. P. SOL. A DILUER P. PERF. IV,4MG/FL. DE PDRE.,B/1FL. DE PDRE. + 1AMP. DE 5ML DE SOLV. (EPPI),Liste I,HOP,OFF,,CIPLA LIMITED ,INDE,2/11/2010,1/4/2017,Gé,I,36 MOIS ,,
97,176/ 05 F 123 /12,05 F 123,ACIDE ZOLEDRONIQUE MONOHYDRATEE EXPRIME EN ACIDE ZOLEDRONIQUE ANHYDRE,ZOLENAT,SOL. CONC. P. PERF. IV,4MG/FL. DE CONC.,B/01FL. DE 5ML,Liste I,HOP,OFF,,MUSTAFA NEVZAT ILAÇ SANAYII A.Ş,TURQUIE,5/6/2012,5/6/2012,Gé,I,36 MOIS,,
98,330/ 05 F 123 /12,05 F 123,ACIDE ZOLEDRONIQUE MONOHYDRATEE EXPRIME EN ACIDE ZOLEDRONIQUE ANHYDRE,ZOBONE,LYOPH. P. SOL. INJ. IV,4MG/FL. DE LYOPH.,B/01FL. DE LYOPH. DE CONTENANCE DE 5ML,Liste I,HOP,OFF,,SUN PHARMACEUTICALS INDUSTRIES LTD,INDE,1/10/2012,1/10/2012,Gé,I,24 MOIS,,
99,427/ 14 K 322 /08,14 K 322,ACIDES AMINES / GLUCOSE / LIPIDES,OLICLINOMEL N4- 550E,EMULSION PERF. IV,"5,5%/20%/10%",POCHE/2000ML (3COMPART.800ML/800ML/400ML),,HOP,,,CLINTEC PARENTERAL S.A.,FRANCE,1/6/2009,1/6/2009,Ré,I,,,
100,427/ 14 K 323 /08/16,14 K 323,ACIDES AMINES / GLUCOSE / LIPIDES,OLICLINOMEL N7-1000 E,EMULSION PERF. IV,10%/40%/20%,POCHE/1000ML (3COMPART.400ML/400ML/200ML) ET POCHE/2000ML (3COMPART.800ML/800ML/400ML),,HOP,,,CLINTEC PARENTERAL S.A.,FRANCE,1/6/2009,6/29/2016,Ré,I,24MOIS,,
101,498/ 21 J 058 /09/16,21 J 058,ADALIMUMAB,HUMIRA,SOL. INJ. SC EN SERING. PREREMPL.,"40MG/0,8ML","B/02 SERING. UNIDOSES PREREMPL. DE 0,8ML+ 02TAMPONS D'ALCOOL",Liste I,HOP,,,ABBVIE,ROYAUME UNI,7/22/2009,3/5/2017,Ré,I,24 MOIS,,
102,123/ 07 B 109 /00/17,07 B 109,ADAPALENE,DIFFERINE,GEL. APPLI. LOCALE,0.1%,T/30G,Liste I,HOP,OFF,,GALDERMA INTERNATIONAL,FRANCE,11/11/2000,5/17/2017,Ré,I,36 MOIS,,
103,123/ 07 B 157 /08/15,07 B 157,ADAPALENE,DIFFERINE,CREME P. APPLI. CUTANEE,0.1%,T/30G,Liste I,HOP,OFF,,GALDERMA INTERNATIONAL,FRANCE,12/17/2008,3/3/2015,Ré,I,36 MOIS,,
104,149 / 07 B 157 /18,07 B 157,ADAPALENE,ADAPALENE NOVAGENERICS,CREME P. APPLI. CUTANEE,0.1%,T/30G,Liste I,HOP,OFF,,NOVA PHARM TRADING SARL ,ALGERIE,1/31/2018,1/31/2018,Gé,F,24 MOIS,,
105,149/ 07 B 109 /13,07 B 109 ,ADAPALENE,ADAPALENE NOVAGENERICS,GEL P. APPLI. LOCALE,0.1%,T/30G,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,9/30/2013,9/5/2016,Gé,F,36MOIS,,
106,541/ 03 F 082 /06 /18,03 F 082,Adénosine triphosphate,ATEPADENE,GLES. ,30MG,B/30,,HOP,OFF,,LABORATOIRE XO,FRANCE,7/31/2006,4/2/2018,Ré,C                                         ( LGPA),36 MOIS,,
107,149/ 03 F 082 /17,03 F 082,Adénosine triphosphate disodique trihydraté exprimé en adénosine triphosphate disodique,ATP NOVAGENERICS ,GLES. ,30MG,B/30,,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,12/25/2017,12/25/2017,Gé,F,24  MOIS,,
108,433/ 06 A 002 /14,06 A 002,ADRENALINE TARTRATE EXPRIME EN ADRENALINE,ADRENALINE RAZES SANS SULFITE,SOL INJ ,1MG/ML ,B/50 AMPS 1ML,Liste I,HOP,,,FRATER RAZES SPA,ALGERIE,6/18/2019,6/18/2019,Gé,F,24 MOIS,,
109,543/ 06 A 002 /19,06 A 002,ADRENALINE TARTRATE EXPRIME EN ADRENALINE,DRINAL,SOL INJ EN AMP,1MG/ML ,B/100 AMPS DE 1 ML,Liste I,HOP,,,BIOTHERA,ALGERIE,3/31/2014,3/31/2014,Gé,F,,,
110,433/06 A 008/17,06 A 008 ,ADRENALINE TARTRATE EXPRIME EN ADRENALINE,NORADRENALINE RAZES  ,SOLUTION à DILUER POUR PERFUSION IV,8MG/4ML,B/50 AMP,Liste I,HOP,OFF,,FRATER RAZES SPA,ALGERIE,3/7/2017,3/7/2017,GE,F,24 MOIS,,
111,152/ 05 C 192/17,05 C 192,Afatinib dimaléate exprimé en afatinib,GIOTRIF,COMPRIME PELLICULE ,20 MG,B/ 28,LISTE I,HOP,,,BOEHRINGER INGELHEIM INTERNATIONAL GMBH,ALLEMAGNE,1/7/2018,1/7/2018,Ré,I,36 MOIS ,,
112,152/ 05 C 193 /18,05 C 193,Afatinib dimaléate exprimé en afatinib,GIOTRIF,COMPRIME PELLICULE ,30 MG,B/ 28,LISTE I,HOP,,,BOEHRINGER INGELHEIM INTERNATIONAL GMBH,ALLEMAGNE,4/18/2018,4/18/2018,Ré,I,36 MOIS ,,
113,152/ 05 C 194 /18,05 C 194,Afatinib dimaléate exprimé en afatinib,GIOTRIF,COMPRIME PELLICULE ,40 MG,B/ 28,LISTE I,HOP,,,BOEHRINGER INGELHEIM INTERNATIONAL GMBH,ALLEMAGNE,4/8/2018,4/8/2018,Ré,I,36 MOIS ,,
114,152/ 05 C 195 /18,05 C195,Afatinib dimaléate exprimé en afatinib,GIOTRIF,COMPRIME PELLICULE ,50 MG,B/ 28,LISTE I,HOP,,,BOEHRINGER INGELHEIM INTERNATIONAL GMBH,ALLEMAGNE,4/8/2018,4/8/2018,Ré,I,36 MOIS ,,
115,424/17 P 174/17,17 P 174,AFLIBERCEPT,EYLEA,SOL INJ INTRAVITREENE ,40 MG/ML,B/01 FL ,LISTE I,HOP,,,BAYER PHARMA AG,ALLEMAGNE,3/7/2017,3/7/2017,Ré,I,24 MOIS,,
116,376/ 05 L 211 /18,05 L 211,Aflibercept SANOFI,ZALTRAP,SOLUTION à DILUER POUR PERFUSION IV,25MG/ML,B/1FL DE 4 ML(100MG/4ML)            B/1FL DE 8 ML (200MG/8ML)      ,Liste I,HOP,,,SANOFI AVENTIS GROUPE ,FRANCE,12/31/2018,12/31/2018,Gé,I ,36MOIS,,
117,493/14 N 355/16,14 N 355,AGALSIDASE ALFA,REPLAGAL ,SOL A DILUER POUR PERFUSION IV ,1 MG/ML,B/01 FL DE 5 ML,LISTE I,HOP,,,SHIRE HUMAN GENETIC THERAPIES AB,SUEDE,3/20/2017,3/20/2017,Ré,I,24 MOIS,,
118,339/ 14 N 349 /15,14 N 349,AGALSIDASE BETA,FABRAZYME,PDRE. P/SOL. A DILUER P/PERFUSION IV,35MG/FL. DE PDRE.,B/01 FL. DE PDRE.,Liste I,HOP,,,GENZYME EUROPE B.V.,PAYS BAS,5/11/2015,5/11/2015,Ré,I,36 MOIS,,
119,547/ 05 K 217 /18,05 K 217,AKYNZEO,Nétupitant / palonosétron exprimé  en palonosétron,GELULE,"300 MG / 0,5 MG",B/01,LISTE I,HOP,,,HELSINN BIREX PHARMACEUTICALS LTD,IRLANDE,12/23/2018,12/23/2018,Ré,I,36 MOIS,,
120,235/ 19 B 030 /16,19 B 030,ALBENDAZOLE,VERTEN,COMPRIME,400 MG,B/1 ET B/56,Liste II,HOP                                  (B/01 ET B/56 )       ,OFF                         (B/01),,BIOGALENIC,ALGERIE,2/4/2016,2/4/2016,Gé,F,24 MOIS,,
121,321/ 19 B 030 /06,19 B 030,ALBENDAZOLE,OXYZOL,COMP. PELLI. SEC.,400MG,B/01,Liste II,HOP,OFF,,BIOVITAL Sarl,ALGERIE,7/26/2006,7/26/2006,Gé,C,,,
122,286/ 12 K 042 /12,12 K 042,ALBUMINE HUMAINE,ALBUREL,SOL. P. PERF. IV,20% (20G/100ML),B/1FL. DE 50ML ET B/1FL. DE 100ML,,HOP,,PHARMACO- VIGILANCE : SUSPENSION TEMPORAIRE ,CHIMIE PHARMACIE COMMERCE MULTIPLE SARL (CPCM),ALGERIE,1/10/2012,1/10/2012,Gé,I,,,
123,298/ 12 J 042 /08/15,12 J 042,ALBUMINE HUMAINE,HUMAN ALBUMIN BAXTER,SOL. INJ.,"20% (OU 0,2G/ML)",FL./50ML ET FL./100ML,,HOP,,,BAXTER A.G.,AUTRICHE,1/27/2009,12/2/2015,Ré,I,,,
124,370/ 12 J 042 /07/16,12 J 042,ALBUMINE HUMAINE,ALBUMINE HUMAINE 20% BIOTEST,SOL. PERF.,20%,FL./ 50ML ET FL./100ML,,HOP,,,BIOTEST PHARMA GmBH,ALLEMAGNE,4/16/2007,3/6/2017,Ré,I,36 MOIS,,
125,513/ 12 J 042 /16,12 J 042,ALBUMINE HUMAINE,VIALEBEX,SOLUTION POUR PERFUSION IV,200MG/ML ( 20%) ,"BOITE DE 01 FLACON DE 50ML (10G/50ML) , BOITE DE 01 FLACON DE 100ML (20G/100ML) ",,HOP,,,LFB BIOMEDICAMENTS ,FRANCE ,6/22/2016,6/26/2016,Gé,I,36MOIS,,
126,234/ 26 B 038 /02,26 B 038,ALCOOL ETHYLIQUE,ALCOOL CHIRURGICAL 70°,SOL. USAGE EXTERNE,70°,FL./100ML,,HOP,OFF,,RHUMEL PHARM,ALGERIE,3/16/2002,3/16/2002,Gé,F,,,
127,314/ 26 B 038 /15,26 B 038,ALCOOL ETHYLIQUE,ALCOOL CHIRURGICAL 70°,SOL. USAGE EXTERNE,70°,FL./1000ML,,HOP,OFF,,RIADH PHARMA EURL ,ALGERIE,10/19/2015,10/19/2015,Gé,F,24 MOIS,,
128,314/ 26 B 041 /15,26 B 041,ALCOOL ETHYLIQUE,ALCOOL CHIRURGICAL 90°,SOL. USAGE EXTERNE,90°,FL./1000ML,,HOP,,,RIADH PHARMA EURL ,ALGERIE,10/19/2015,10/19/2015,Gé,F,24 MOIS,,
129,349/ 26 B 038 /06,26 B 038,ALCOOL ETHYLIQUE,ALCOOL CHIRURGICAL 70°,SOL. USAGE EXTERNE,70°,FL/60ML ET FL/1000ML ,,HOP,OFF,,BIOLAB,ALGERIE,7/18/2006,7/18/2006,Gé,F,,,
130,379/ 26 B 038 /09,26 B 038,ALCOOL ETHYLIQUE,ALCOOL CHIRURGICAL 70° ,SOL. USAGE EXTERNE,70°,FL./100ML,,HOP,OFF,,ZH SANTE LABO SARL,ALGERIE,4/20/2009,4/20/2009,Gé,F,,,
131,464/ 26 B 038 /10,26 B 038,ALCOOL ETHYLIQUE,ALCOOL CHIRURGICAL 70°,SOL. USAGE EXTERNE,70°,FL./1000ML,,HOP,OFF,,LABIOCO,ALGERIE,6/17/2010,6/17/2010,Gé,F,,,
132,088/ 26 B 038 /03,26 B 038,ALCOOL ETHYLIQUE ,ALCOOL CHIRURGICAL 70° ,SOL. USAGE EXTERNE,70°,FL./100ML,,HOP,OFF,,PHARMAGHREB,ALGERIE,11/15/2003,11/15/2003,Gé,F,,,
133,314/26 B 042/16,26 B 042,ALCOOL ETHYLIQUE 96°,ALCOOL DENATURE RPP,SOL HYDRO ALCOOLIQUE CAMPHRE ,90°,FL/1000ML,,HOP,OFF,,RIADH PHARMA EURL ,ALGERIE,12/4/2016,12/4/2016,Gé,F,24MOIS,,
134,263/ 21 G 050 /15,21 G 050,ALENDRONATE MONOSODIQUE TRIHYDRATE EXPRIME EN ACIDE ALENDRONIQUE,DROMAX,COMPRIME,70MG,B/04,Liste I,HOP,OFF,,BIOPHARM SPA,ALGERIE,5/31/2015,5/31/2015,Gé,F,36MOIS,,
135,289/ 21 G 050 /07/14,21 G 050 ,ALENDRONATE MONOSODIQUE TRIHYDRATE EXPRIME EN ACIDE ALENDRONIQUE,POROSIMAX,COMPRIME,70MG,B/04,Liste I,HOP,OFF,,FRATER SARL ,ALGERIE,9/10/2007,2/16/2014,Gé,Fprémix,36 MOIS,,
136,447/ 21 G 050 /16,21 G 050,ALENDRONATE MONOSODIQUE TRIHYDRATE EXPRIME EN ACIDE ALENDRONIQUE,OSPORIX,COMPRIME,70MG,B/04,Liste I,HOP,OFF,,LABORATOIRES BEKER SARL,ALGERIE,4/27/2016,4/27/2016,Gé,F,24MOIS,,
137,447/ 21 G 050 /16,21 G 050,ALENDRONATE MONOSODIQUE TRIHYDRATE EXPRIME EN ACIDE ALENDRONIQUE,FOSACARE,COMPRIME,70MG,B/04,LISTE I,HOP,OFF,,BIOCARE SARL,ALGERIE,8/28/2019,8/28/2019,Gé,F,24 MOIS,,
138,149/ 21 G 050 /15,21 G 050,ALENDRONATE MONOSODIQUE TRIHYDRATE EXPRIME EN ALENDRONATE DE SODIUM,OSTOMAX,COMPRIME,70MG,B/04,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,6/24/2015,6/24/2015,Gé,F,36 MOIS,,
139,352/ 21 G 050 /11,21 G 050,ALENDRONATE MONOSODIQUE TRIHYDRATE EXPRIME EN ALENDRONATE DE SODIUM,FOLENAT,COMPRIME,70MG,PILULIER/04,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,11/27/2011,11/27/2011,Gé,F,,,
140,083/ 14 H 088 /98/15,14 H 088,ALFACALCIDOL,UN-ALFA,CAPSULE ORALE,1µG,B/30,Liste I,HOP,OFF,,LEO PHARMA,FRANCE,11/25/1998,6/9/2015,Ré,I,24 MOIS,,
141,083/ 14 H 089 /98/15,14 H 089,ALFACALCIDOL,UN-ALFA,CAPSULE ORALE,"0,25 µG",B/30,Liste I,HOP,OFF,,LEO PHARMA,FRANCE,11/25/1998,7/26/2015,Ré,I,24 MOIS,,
142,174/ 14 H 088 /19,14 H 088,ALFACALCIDOL,SUPRA CALCI,CAPSULE MOLLE,1µG,B/30,Liste I,HOP,OFF,,UNITED PHARMACEUTICALS MANUFACTURING COMPANY LIMITED,JORDANIE,4/21/2019,4/21/2019,Gé,I,24 MOIS,,
143,174/14 H 089/19,14 H 089,ALFACALCIDOL (OU 1 ALPHA-HYDROXYCHOLECALCIFEROL),SUPRA CALCI,CAPSULE MOLLE,"0,25µG",B/30,Liste I,HOP,OFF,24 MOIS,THE UNITED PHARMACEUTICAL MANUFACTURING COMPANY LIMITED,JORDANIE,8/14/2019,8/14/2019,Gé,I,24 MOIS,,
144,289/ 25 B 022 /18,25 B 022,ALFUZOSINE CHLORHYDRATE,FRAXAL,COMP. PELLI. LP,5MG,B/60,,HOP,OFF,,FRATER RAZES FORME SECHE,ALGERIE,12/31/2018,12/31/2018,Gé,F,24 MOIS ,,
145,352/25 B 057/10/16,25 B 057,ALFUZOSINE CHLORHYDRATE,PROSTAX LP,COMP PELL LP,10MG,B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,3/11/2010,12/4/2016,Gé,F,36MOIS ,,
146,376/ 25 B 022 /98/10,25 B 022,ALFUZOSINE CHLORHYDRATE,XATRAL LP,COMP. PELLI. LP,5MG,B/56,,HOP,OFF,,SANOFI AVENTIS FRANCE,FRANCE,5/12/1998,6/15/2010,Ré,I,,,
147,433/25 B 057/18,25 B 057,ALFUZOSINE CHLORHYDRATE,FRAXAL,COMP PELL LP,10MG,B/30,Liste I,HOP,OFF,,FRATER RAZES FORME SECHE,ALGERIE,10/3/2018,10/3/2018,Gé,F,24 MOIS ,,
148,311/ 10 G 054 /16,10 G 054 ,ALGINATE DE SODIUM / BICARBONATE DE SODIUM,GASTRIUM ,SUSP. BUV.,"50MG/26,7MG/ML",B/1 FlaCON DE 200 ML ,,HOP,OFF,,SARL LABORATOIRES GROUPEMENT PHARMACEUTIQUE ALGERIEN (LGPA),ALGERIE,5/11/2016,5/11/2016,Gé,F,24MOIS,,
149,263/10 G 206/17,10 G 206,ALGINATE DE SODIUM / BICARBONATE DE SODIUM/CARBONATE DE CALCIUM,NOBAC,COMPRIME A CROQUER,500 MG/267 MG/160 MG,B /16,,HOP,OFF,,BIOPHARM SPA,ALGERIE,3/7/2017,3/7/2017,Gé,F,24 MOIS,,
150,468/10 G 054/19,10 G 054,ALGINATE DE SODIUM/BICARBONATE DE SODIUM,GATIMOX AROME FENOUIL,SUSP BUV ,500MG/267MG,B/12 ET 24 STICKS UNIDOSES DE 10ML,,HOP,OFF,,NADPHARMADIC PRODUCTION,ALGERIE,3/25/2019,3/25/2019,Gé,F,24MOIS,,
151,339/14 N 354/17,14 N 354,ALGLUCOSIDASE ALFA ,MYOZYME,POUDRE POUR SOLUTION A DILUER POUR PERFUSION IV ,"50 MG/FL APRES RECONSTITUTION 5MG/ML D'ALGLUCOSIDASE ALFA ,APRES LA DILUTION LA CONCENTRATION VARIE DE 0,5 à 4MG/ML",B/01 FL DE POUDRE ,LISTE I,HOP,,,GENZYME EUROPE B.V.,PAYS BAS,9/4/2017,9/4/2017,Ré,I,36 MOIS,,
152,109/ 21 B 007 /99,21 B 007,ALLOPURINOL,NO URIC 100,COMPRIME,100MG,B/50 ,Liste I,HOP,OFF,,EIPICO ,EGYPTE,4/21/1999,4/21/1999,Gé,C,,,
153,109/ 21 B 008 /99,21 B 008,ALLOPURINOL,NO URIC 300,COMPRIME,300MG,B/20 ,Liste I,HOP,OFF,,EIPICO ,EGYPTE,4/21/1999,4/21/1999,Gé,C,,,
154,166/ 21 B 007 /98/17,21 B 007,ALLOPURINOL,ZANURIC 100,COMPRIME,100MG,B/30,Liste I,HOP,OFF,,RAM PHARMACEUTICAL INDUSTRIES.CO.LTD.,JORDANIE,8/18/1998,9/4/2017,Gé,I,36 MOIS,,
155,166/ 21 B 008 /98/15,21 B 008,ALLOPURINOL,ZANURIC,COMPRIME,300MG,B/30,Liste I,HOP,OFF,,RAM PHARMACEUTICAL INDUSTRIES,JORDANIE,8/18/1998,5/31/2015,Gé,I,36 MOIS,,
156,467/ 21 B 007 /98/14,21 B 007,ALLOPURINOL,ZYLORIC,COMPRIME,100MG,B/28,Liste I,HOP,OFF,,ASPEN PHARMA TRADING LIMITED,IRLANDE,11/10/1998,2/27/2014,Ré,I,48 MOIS,,
157,468/ 21 B 007 /13,21 B 007,ALLOPURINOL,NADLORIC,COMPRIME,100MG,B/30,Liste I,HOP,OFF,,NADPHARMADIC PRODUCTION SARL,ALGERIE,5/21/2013,2/4/2016,Gé,F,36 MOIS,,
158,077/ 04 C 027 /15,04 C 027,ALPHA-AMYLASE,LAMYLASE,SIROP,20 000 U CEIP/100ML,FL./100ML,,HOP,OFF,,LABORATOIRE ALGERIEN DU MEDICAMENT (LAM) SARL,ALGERIE,5/13/2015,5/13/2015,Gé,F,12 MOIS,,
159,104/ 04 C 026 /00/15,04 C 026,ALPHA-AMYLASE,MEGAMYLASE,COMP. ENRO.,3000 U CEIP,B/24,,HOP,OFF,,TOP PHARM,FRANCE,6/21/2000,10/4/2015,Gé,C Iaire,24 MOIS,,
160,392/04 C 027/96/16,04 C 027,ALPHA-AMYLASE,MAXILASE,SIROP ENF. ET AD.,20 000 U CEIP/100ML,FL/125ML,,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,10/23/1996,3/28/2009,Gé,F,12 MOIS,,
161,273/ 25 N 034 /05,25 N 034,ALPROSTADIL,EDEX,PDRE ET  SOLVT. SOL. INJ.,10µG/ML,B/2 CARTOUCHE BI-COMPARTIMENT DE 1ML,Liste I,HOP,OFF,,SCHWARZ PHARMA ,FRANCE,12/18/2005,12/18/2005,Gé,I,,,
162,273/ 25 N 035 /05,25 N  035,ALPROSTADIL,EDEX,PDRE ET  SOLVT. SOL. INJ.,20µG/ML,B/2 CARTOUCHE BI-COMPARTIMENT DE 1ML,Liste I,HOP,OFF,,SCHWARZ PHARMA ,FRANCE,12/18/2005,12/18/2005,Gé,I,,,
163,067/ 10 E 128 /03/15,10 E 128,ALVERINE/SIMETICONE,METEOSPASMYL,CAPSULE ORALE,60MG/300MG,"B/20, B/30, b/40",,HOP,OFF,,MAYOLY SPINDLER,FRANCE,9/24/2003,10/26/2015,Ré,I,36 mois,,
164,073/ 20 D 064 /07/15,20 D 064,AMBROXOL,MUCOREX,SOL. BUV.,0.30%,FL/150ML,Liste II,HOP,OFF,,ISOPHARM,ALGERIE,7/22/2007,12/27/2015,Gé,F,24 MOIS,,
165,079/ 20 D 064 /99/09,20 D 064,AMBROXOL  ( SOUS FORME DE CHLORHYDRATE)**,TOUXOL,SOL. BUV.,"0,3%**",FL/125 ML,Liste II,HOP,OFF,,LABORATOIRE  ALGERIEN DE DEVELOPPEMENT  PHARMACEUTIQUE   (LAD),ALGERIE,7/13/1999,4/19/2009,Gé,F,,,
166,055/ 20 D 064 /98,20 D 064,AMBROXOL  (CHLORHYDRATE),AMBOLAR,SOL. BUV.,0.3%,FL/150ML,Liste II,HOP,OFF,,DAR AL DAWA DEVELOPMENT & INVESTMENT Co Ltd ,ALGERIE,11/8/1998,10/17/2006,Gé,F,,,
167,318/20 D 064/17,20 D 064,AMBROXOL  (CHLORHYDRATE),AMBRODAL,SOL. BUV.,0.3%,B/01 FL DE 100 ML,Liste II,HOP,OFF,,PHARMIDAL NS,ALGERIE,6/18/2017,6/18/2017,Gé,F,24 MOIS,,
168,077/ 20 D 064 /04,20 D 064,AMBROXOL (CHLORHYDRATE),FLUXOL,SOL BUV,0.3%,FL/200ML,Liste II,HOP,OFF,,LABORATOIRE ALGERIEN DU MEDICAMENT  (LAM),ALGERIE,3/16/2004,3/16/2004,Gé,F,,,
169,242/ 20 D 064 /07,20 D 064 ,AMBROXOL (CHLORHYDRATE),BROXOL,SIROP ,0.30%,FL./100ML,Liste II,HOP,OFF,,GROUPE SANTE,ALGERIE,11/4/2007,11/4/2007,Gé,F,,,
170,424/ 08 C 008 /97/13,08 C 008,AMIDOTRIZOATE DE SODIUM / AMIDOTRIZOATE DE MEGLUMINE,GASTROGRAFINE,SOL.BUV. OU REC. (APPLIC. GASTRO-INTESTINALE),I =370MG/ML (10G/66G/100ML),B/1FL. DE 100ML,Liste I,HOP,OFF,,BAYER PHARMA AG,ALLEMAGNE,11/12/1997,5/29/2013,Ré,I,,,
171,011/ 13 A 454 /98/17,13 A 454,AMIKACINE SULFATE EXPRIME EN AMIKACINE,LIKACIN,SOL.INJ. IM/IV,125MG/ML (250MG/2ML), B/50FL. DE 2ML ,Liste I,HOP,,,ITALIANO BIOCHIMICO FARMACEUTICO LISAPHARMA SPA  ,ITALIE,8/18/1998,11/5/2017,Gé,I,36 MOIS,,
172,055/ 06 H 094 /98/12 ,06 H 094,AMILORIDE CHLORHYDRATE / HYDROCHLOROTHIAZIDE,AMURETIC,COMPRIME SECABLE ,5MG/50MG,B/30,Liste I,HOP,OFF,,DAR AL DAWA DEVELOPMENT & INVESTMENT Co Ltd ,JORDANIE,8/22/1998,9/25/2012,Gé,Fprémix,,,
173,035/ 06 D 041 /15,06 D 041,Amiodarone chlorhydrate,TRIAXONE,COMPRIME SECABLE ,200MG,B/30,Liste II,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,11/10/2015,11/10/2015,Gé,F,24 MOIS,,
174,255/ 06 D 041 /97/16,06 D 041,Amiodarone chlorhydrate,CORDARONE,COMPRIME SECABLE ,200MG,B/30,Liste II,HOP,OFF,,SANOFI SYNTHELABO,FRANCE,11/8/1997,3/6/2017,Ré,I,36 MOIS,,
175,376/ 06 D 040 /97/17,06 D 040,Amiodarone chlorhydrate,CORDARONE,SOL.INJ.IV.,50MG/ML (150MG/3ML),B/06 AMP. DE 3ML,Liste II,HOP,,,SANOFI SYNTHELABO,FRANCE,11/9/1997,3/6/2017,Ré,I,24 MOIS,,
176,505/ 06 D 040 /19,06 D 040,Amiodarone chlorhydrate,AMIODARONE CLORIDRATO BIOINDUSTRIA L.I.M,SOL.INJ,50MG/ML (150MG/3ML),B/05 AMP. DE 3ML,Liste II,HOP,,,BIOINDUSTRIA LABORATORIO ITALIANO MEDICINALI SPA,ITALIE,5/5/2019,5/5/2019,Gé,I,24 MOIS,,
177,380/ 06 D 041 /14,06 D 041,Amiodarone chlorhydrate,AMIODARONE HUP,COMPRIME SECABLE ,200MG ,B/30,Liste II,HOP,OFF,,HUP.P.PHARMA SARL,ALGERIE,7/13/2014,7/13/2014,Gé,F,24 MOIS,,
178,035/16 D 094/17,16 D 094,AMISULPRIDE,MISULAR,COMPRIME SECABLE ,200 MG,B/30,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,8/3/2017,8/3/2017,Gé,F,24 MOIS,,
